json_path,json_field,ontology_term,term_type,source_file,mapping_status,notes
results[].bill.billTypeURI,billTypeURI,eli-dl:process_type,ObjectProperty,eli-dl: (external),new,Maps to :PublicBill or :PrivateBill eli-dl:ProcessType individuals in legislation.owl.ttl. Set on the eli-dl:LegislativeProcess instance. Annotated in legislation.owl.ttl. Replaces former :hasBillType.
results[].bill.shortTitleEn,shortTitleEn,eli:title,DatatypeProperty,eli: (external),mapped,Short title of the Bill in English. Range plain literal with @en language tag. Applied to eli-dl:DraftLegislationWork.
results[].bill.shortTitleGa,shortTitleGa,eli:title,DatatypeProperty,eli: (external),mapped,Short title of the Bill in Irish. Same property as shortTitleEn with @ga language tag.
results[].bill.longTitleEn,longTitleEn,eli:title_alternative,DatatypeProperty,eli: (external),mapped,Long (enacting) title of the Bill in English. Annotated in legislation.owl.ttl as "Long title of a Bill".
results[].bill.longTitleGa,longTitleGa,eli:title_alternative,DatatypeProperty,eli: (external),mapped,Long title in Irish. Same property with @ga language tag.
results[].bill.status,status,—,—,—,implicit,Human-readable string (e.g. "Enacted"); covered by statusURI. No separate mapping needed.
results[].bill.statusURI,statusURI,eli-dl:process_status,ObjectProperty,eli-dl: (external),mapped,URI value maps to a :BillStatusTable individual (e.g. :EnactedBill). Set on the eli-dl:LegislativeProcess instance. Status individuals defined in legislation.owl.ttl.
results[].bill.source,source,—,—,—,implicit,Human-readable string ("Government" / "Private Member"); covered by sourceURI. No separate mapping needed.
results[].bill.sourceURI,sourceURI,eli-dl:was_submitted_by,ObjectProperty,eli-dl: (external),new,URI is the IRI of a named individual in agents.owl.ttl typed :Government or :PrivateMember. Named individuals <.../def/bill-source/government> and <.../def/bill-source/private-member> added in agents.owl.ttl.
results[].bill.originHouse.showAs,showAs,rdfs:label,AnnotationProperty,W3C RDF Schema (external),implicit,Human-readable label on the agents:House named individual; not stored separately on the bill.
results[].bill.originHouseURI,originHouseURI,:originHouse,ObjectProperty,legislation.owl.ttl,new,IRI of the originating house individual (e.g. <.../house/dail>). Domain eli-dl:DraftLegislationWork; range agents:House. Distinct from eli-dl:was_submitted_by which carries the submitting agent.
results[].bill.method,method,—,—,—,implicit,Human-readable string ("Presented" / "Introduced"); covered by methodURI. No separate mapping needed.
results[].bill.methodURI,methodURI,eli-dl:had_activity_type,ObjectProperty,eli-dl: (external),mapped,URI maps to a :BillDelivery named individual (e.g. :Presentation / :Introduction) from the :BillDeliveryTable concept scheme. Set on the eli-dl:LegislativeActivity representing the delivery event.
results[].bill.lastUpdated,lastUpdated,dct:modified,AnnotationProperty,legislation.owl.ttl (annotates dct:modified),new,ISO 8601 datetime with timezone. Range xsd:dateTime. Applied to eli-dl:DraftLegislationWork instances. Annotated in legislation.owl.ttl.
results[].bill.mostRecentStage,mostRecentStage,eli-dl:latest_activity,ObjectProperty,eli-dl: (external),new,Points to the most recently completed eli-dl:LegislativeActivity (stage). Annotated in legislation.owl.ttl for Oireachtas usage. The nested event fields are mapped individually below under stages[].
results[].bill.act.uri,uri,eli:LegalResource,Class,eli: (external),implicit,Act URI is the IRI of the eli:LegalResource instance. Linked from the DraftLegislationWork via eli:basis_for (annotated in legislation.owl.ttl). No property needed — it is the subject node of the Act resource.
results[].bill.act.actNo,actNo,eli-dl:process_number,DatatypeProperty,eli-dl: (external),new,Number component of the act identifier (e.g. "18"). Same property as bill.billNo but applied to the Act eli:LegalResource instance.
results[].bill.act.actYear,actYear,:legislativeYear,DatatypeProperty,legislation.owl.ttl,new,Year component of the act identifier. Same property as bill.billYear but applied to the Act eli:LegalResource instance.
results[].bill.act.shortTitleEn,shortTitleEn,eli:title,DatatypeProperty,eli: (external),mapped,Short title of the Act in English. Applied to the Act eli:LegalResource instance.
results[].bill.act.shortTitleGa,shortTitleGa,eli:title,DatatypeProperty,eli: (external),mapped,Short title of the Act in Irish (@ga language tag).
results[].bill.act.longTitleEn,longTitleEn,eli:title_alternative,DatatypeProperty,eli: (external),mapped,Long (enacting) title of the Act in English.
results[].bill.act.longTitleGa,longTitleGa,eli:title_alternative,DatatypeProperty,eli: (external),mapped,Long title of the Act in Irish (@ga language tag).
results[].bill.act.dateSigned,dateSigned,:dateSigned,DatatypeProperty,legislation.owl.ttl,new,Date and time the President signed the Bill into law under Article 25. Range xsd:dateTime. Sub-property of eli:date_document. Domain eli:LegalResource.
results[].bill.act.statutebookURI,statutebookURI,:statuteBookURI,ObjectProperty,legislation.owl.ttl,new,ELI URI of the Act on the Irish Statute Book (www.irishstatutebook.ie). Sub-property of dct:relation. Domain eli:LegalResource.
results[].bill.amendmentLists[].amendmentList.amendmentTypeUri.uri,uri,eli-dl:AmendmentToDraftLegislationWork,Class,eli-dl: (external),implicit,Each amendment list is an instance of eli-dl:AmendmentToDraftLegislationWork linked from the DraftLegislationWork via eli-dl:has_part. The URI in this subfield resolves to the amendment type definition and drives :hasAmendmentListType.
results[].bill.amendmentLists[].amendmentList.amendmentTypeUri.uri,:hasAmendmentListType target,:hasAmendmentListType,ObjectProperty,legislation.owl.ttl,new,URI resolves to :NumberedAmendmentList or :UnnumberedAmendmentList from :AmendmentListTypeTable. Set on the eli-dl:AmendmentToDraftLegislationWork instance.
results[].bill.amendmentLists[].amendmentList.chamber.showAs,showAs,rdfs:label,AnnotationProperty,W3C RDF Schema (external),implicit,Human-readable label on the agents:House named individual; not stored separately on the amendment list.
results[].bill.amendmentLists[].amendmentList.chamber.uri,uri,:InChamber,ObjectProperty,events.owl.ttl,mapped,:InChamber links the amendment list activity to the agents:House (Dáil or Seanad) where the amendment was tabled.
results[].bill.amendmentLists[].amendmentList.date,date,eli-dl:activity_date,DatatypeProperty,eli-dl: (external),mapped,Date of the amendment list. Range xsd:date. Applied to the eli-dl:AmendmentToDraftLegislationWork instance.
results[].bill.amendmentLists[].amendmentList.formats.pdf.uri,uri,eli:uri_schema,DatatypeProperty,eli: (external),mapped,URI of the PDF format rendition. Modelled as eli:uri_schema on an eli:Format instance attached to the eli:LegalExpression via eli:has_format. Media type application/pdf.
results[].bill.amendmentLists[].amendmentList.formats.xml,xml,eli:uri_schema,DatatypeProperty,eli: (external),mapped,URI of the XML format rendition (null if not published). Same pattern as pdf.uri but for application/xml.
results[].bill.amendmentLists[].amendmentList.showAs,showAs,rdfs:label,AnnotationProperty,W3C RDF Schema (external),mapped,Human-readable display label for the amendment list. Applied to the eli-dl:AmendmentToDraftLegislationWork instance.
results[].bill.amendmentLists[].amendmentList.stage.showAs,showAs,rdfs:label,AnnotationProperty,W3C RDF Schema (external),implicit,Label on the linked stage LegislativeActivity; not stored separately on the amendment list.
results[].bill.amendmentLists[].amendmentList.stage.uri,uri,eli-dl:LegislativeActivity,Class,eli-dl: (external),implicit,IRI of the stage eli-dl:LegislativeActivity that this amendment list was tabled at. Links back to the stage instance; no new property needed — use the activity IRI as object of eli-dl:related_to or the stage IRI directly.
results[].bill.amendmentLists[].amendmentList.stageNo,stageNo,:stageNo,DatatypeProperty,events.owl.ttl,new,The stage number within a single house at which the amendment list was tabled (e.g. 3 = Committee Stage; 4 = Report Stage). Range xsd:positiveInteger. Applied to eli-dl:AmendmentToDraftLegislationWork.
results[].bill.debates[].chamber.showAs,showAs,rdfs:label,AnnotationProperty,W3C RDF Schema (external),implicit,Human-readable label on the agents:House named individual; not stored on the debate record separately.
results[].bill.debates[].chamber.uri,uri,:InChamber,ObjectProperty,events.owl.ttl,mapped,House or committee chamber in which the debate took place. Set on the :JournalEvent / eli-dl:LegislativeActivity representing the debate. For committee debates the URI is the generic def/committee placeholder — see :hasCommitteeType in agents.owl.ttl for the specific committee type.
results[].bill.debates[].date,date,eli-dl:activity_date,DatatypeProperty,eli-dl: (external),mapped,Date of the debate. Range xsd:date. Applied to the debate activity.
results[].bill.debates[].debateSectionId,debateSectionId,—,—,—,future_work,Internal identifier of the debate section within the Official Report record. No ontology equivalent defined. Relevant when debates.owl.ttl is developed.
results[].bill.debates[].showAs,showAs,rdfs:label,AnnotationProperty,W3C RDF Schema (external),mapped,Human-readable label for the debate session (stage name + bill title). Applied to the debate activity instance.
results[].bill.debates[].uri,uri,eli-dl:LegislativeActivity,Class,debates.owl.ttl (stub),future_work,AKN URI of the debate record. Would become the IRI of a :JournalEvent instance in debates.owl.ttl when that module is developed. Currently deferred.
results[].bill.events[].event.chamber.chamberCode,chamberCode,—,—,—,implicit,Short code (e.g. "dail"); derivable from chamber.uri. No separate mapping needed.
results[].bill.events[].event.chamber.showAs,showAs,rdfs:label,AnnotationProperty,W3C RDF Schema (external),implicit,Human-readable label on the agents:House named individual.
results[].bill.events[].event.chamber.uri,uri,:InChamber,ObjectProperty,events.owl.ttl,mapped,House in which the bill lifecycle event occurred. Set on the eli-dl:LegislativeActivity instance. May be null for cross-house events (e.g. Enacted).
results[].bill.events[].event.dates[].date,date,eli-dl:activity_date,DatatypeProperty,eli-dl: (external),mapped,Date(s) of the lifecycle event. Range xsd:date. Multiple dates indicate repeat occurrences (e.g. Published appears on initiation and on signing).
results[].bill.events[].event.eventURI,eventURI,eli-dl:had_activity_type,ObjectProperty,eli-dl: (external),mapped,URI maps to a :BillEvent named individual in the :BillEventTable concept scheme (e.g. :Published or :Enacted) defined in events.owl.ttl.
results[].bill.events[].event.showAs,showAs,rdfs:label,AnnotationProperty,W3C RDF Schema (external),mapped,Human-readable label for the lifecycle event. Applied to the eli-dl:LegislativeActivity instance.
results[].bill.events[].event.uri,uri,eli-dl:LegislativeActivity,Class,eli-dl: (external),implicit,IRI of the lifecycle event eli-dl:LegislativeActivity instance. No property needed — the IRI is the subject node.
results[].bill.mostRecentStage.event.chamber,chamber,:InChamber,ObjectProperty,events.owl.ttl,mapped,Chamber of the most recent stage; null for the final Enacted stage. Same mapping as stages[].event.chamber.uri.
results[].bill.mostRecentStage.event.dates[].date,date,eli-dl:activity_date,DatatypeProperty,eli-dl: (external),mapped,Date(s) of the most recent stage activity. Same mapping as stages[].event.dates[].date.
results[].bill.mostRecentStage.event.house,house,eli-dl:parliamentary_term,ObjectProperty,eli-dl: (external),mapped,HouseTerm in which the most recent stage occurred; null for the Enacted stage. Same mapping as stages[].event.house.uri.
results[].bill.mostRecentStage.event.progressStage,progressStage,:progressStage,DatatypeProperty,events.owl.ttl,new,Integer giving the cross-house sequential order of the stage (1–10). Range xsd:positiveInteger. Applied to the eli-dl:LegislativeActivity instance.
results[].bill.mostRecentStage.event.showAs,showAs,rdfs:label,AnnotationProperty,W3C RDF Schema (external),mapped,Human-readable stage name (e.g. "Enacted"). Applied to the LegislativeActivity instance.
results[].bill.mostRecentStage.event.stageCompleted,stageCompleted,eli-dl:activity_completed,DatatypeProperty,eli-dl: (external),mapped,Boolean indicating whether the stage is complete. Range xsd:boolean. Applied to the eli-dl:LegislativeActivity instance.
results[].bill.mostRecentStage.event.stageOutcome,stageOutcome,eli-dl:process_status,ObjectProperty,eli-dl: (external),mapped,"String value ""Enacted"" maps to :EnactedBill via eli-dl:process_status on the eli-dl:LegislativeProcess (not a BillEventOutcome individual). For all other stages stageOutcome is null. See annotation on eli-dl:process_status in legislation.owl.ttl."
results[].bill.mostRecentStage.event.stageURI,stageURI,eli-dl:had_activity_type,ObjectProperty,eli-dl: (external),mapped,URI maps to a :BillStage named individual (e.g. :FirstStage or the enacted-stage concept) from events.owl.ttl. Set on the eli-dl:LegislativeActivity instance.
results[].bill.mostRecentStage.event.uri,uri,eli-dl:LegislativeActivity,Class,eli-dl: (external),implicit,IRI of the stage eli-dl:LegislativeActivity instance. No property needed.
results[].bill.relatedDocs[].relatedDoc.uri,uri,eli:LegalExpression,Class,eli: (external),implicit,IRI of the related document eli:LegalExpression instance. Linked from the DraftLegislationWork via eli:has_expression or via eli-dl:has_part depending on document type.
results[].bill.relatedDocs[].relatedDoc.docType,docType,eli:type_document,ObjectProperty,eli: (external),new,Maps to :Errata / :Gluais / :ExplanatoryMemo eli:ResourceType individuals defined in legislation.owl.ttl. Applied at Work level. The JSON value is a string code ("errata" / "gluais" / "memo").
results[].bill.relatedDocs[].relatedDoc.date,date,eli:date_document,DatatypeProperty,eli: (external),mapped,Publication date of the related document expression. Range xsd:date. Applied to the eli:LegalExpression instance.
results[].bill.relatedDocs[].relatedDoc.lang,lang,eli:language,DatatypeProperty,eli: (external),mapped,BCP 47 language code of the related document (e.g. "eng" / "mul"). Range xsd:language. Applied to the eli:LegalExpression instance.
results[].bill.relatedDocs[].relatedDoc.showAs,showAs,rdfs:label,AnnotationProperty,W3C RDF Schema (external),mapped,Human-readable label for the related document expression (e.g. "Explanatory Memorandum"). Applied to the eli:LegalExpression instance.
results[].bill.relatedDocs[].relatedDoc.formats.pdf.uri,uri,eli:uri_schema,DatatypeProperty,eli: (external),mapped,PDF rendition URI. Modelled as eli:uri_schema on an eli:Format instance (media type application/pdf) attached via eli:has_format to the eli:LegalExpression.
results[].bill.relatedDocs[].relatedDoc.formats.xml,xml,eli:uri_schema,DatatypeProperty,eli: (external),mapped,XML rendition URI (null if not published). Same pattern as pdf.uri for media type application/xml.
results[].bill.sponsors[].sponsor.by.showAs,showAs,rdfs:label,AnnotationProperty,W3C RDF Schema (external),mapped,Human-readable name of the sponsoring Member. Applied to the agents:Member instance when the member IRI is resolved.
results[].bill.sponsors[].sponsor.by.uri,uri,eli-dl:had_participation,ObjectProperty,eli-dl: (external),mapped,IRI of the sponsoring agents:Member (foaf:Person). Accessed via eli-dl:had_participation on the LegislativeProcess → eli-dl:Participation → eli-dl:participant. Often null in the API for Government bills where the sponsor is identified by role.
results[].bill.sponsors[].sponsor.as.showAs,showAs,rdfs:label,AnnotationProperty,W3C RDF Schema (external),mapped,Human-readable label of the ministerial or member role under which the bill was sponsored (e.g. "Minister for Finance"). Applied to the Participation or role instance.
results[].bill.sponsors[].sponsor.as.uri,uri,eli-dl:participation_role,ObjectProperty,eli-dl: (external),future_work,IRI of the specific ministerial role. Null in the Finance Bill record. When populated would point to a members:MinisterRole individual; role IRI pattern not yet defined. Deferred.
results[].bill.sponsors[].sponsor.isPrimary,isPrimary,:isPrimarySponsor,DatatypeProperty,agents.owl.ttl,new,Boolean flag indicating the primary sponsor. Range xsd:boolean. Applied to the eli-dl:Participation instance. True for the minister/member in whose name the bill was presented.
results[].bill.stages[].event.uri,uri,eli-dl:LegislativeActivity,Class,eli-dl: (external),implicit,IRI of the stage eli-dl:LegislativeActivity instance. No property needed — the IRI is the subject node.
results[].bill.stages[].event.chamber.chamberCode,chamberCode,—,—,—,implicit,Short code (e.g. "dail" / "seanad"); derivable from chamber.uri. No separate mapping needed.
results[].bill.stages[].event.chamber.showAs,showAs,rdfs:label,AnnotationProperty,W3C RDF Schema (external),implicit,Human-readable label on the agents:House named individual.
results[].bill.stages[].event.chamber.uri,uri,:InChamber,ObjectProperty,events.owl.ttl,mapped,House in which this stage occurred. Set on the eli-dl:LegislativeActivity instance. May be null for the Enacted stage.
results[].bill.stages[].event.dates[].date,date,eli-dl:activity_date,DatatypeProperty,eli-dl: (external),mapped,Date(s) of the stage. Range xsd:date. Multiple entries indicate a stage spanning more than one day (e.g. Committee Stage resumed).
results[].bill.stages[].event.house.uri,uri,eli-dl:parliamentary_term,ObjectProperty,eli-dl: (external),mapped,IRI of the HouseTerm (e.g. <.../house/dail/34>) identifying the specific numbered Dáil or Seanad sitting. The HouseTerm instance should additionally be typed eli-dl:ParliamentaryTerm.
results[].bill.stages[].event.house.houseCode,houseCode,—,—,—,implicit,Short code (e.g. "dail"); derivable from house.uri. No separate mapping needed.
results[].bill.stages[].event.house.chamberCode,chamberCode,—,—,—,implicit,Duplicate of houseCode; derivable from house.uri.
results[].bill.stages[].event.house.chamberType,chamberType,—,—,—,implicit,Fixed value "house"; derivable from class type. No mapping needed.
results[].bill.stages[].event.house.houseNo,houseNo,—,—,—,implicit,Ordinal number of the Dáil or Seanad (e.g. "34"); encoded in the house.uri IRI path. No separate mapping needed.
results[].bill.stages[].event.house.showAs,showAs,rdfs:label,AnnotationProperty,W3C RDF Schema (external),implicit,Human-readable label on the HouseTerm individual (e.g. "34th Dáil").
results[].bill.stages[].event.progressStage,progressStage,:progressStage,DatatypeProperty,events.owl.ttl,new,Integer giving the canonical cross-house sequential order of this stage (1 = First Stage Dáil … 10 = Enacted). Range xsd:positiveInteger. Applied to the eli-dl:LegislativeActivity instance.
results[].bill.stages[].event.showAs,showAs,rdfs:label,AnnotationProperty,W3C RDF Schema (external),mapped,Human-readable stage name. Applied to the eli-dl:LegislativeActivity instance.
results[].bill.stages[].event.stageCompleted,stageCompleted,eli-dl:activity_completed,DatatypeProperty,eli-dl: (external),mapped,Boolean; true if the stage is concluded. Range xsd:boolean. Applied to the eli-dl:LegislativeActivity instance.
results[].bill.stages[].event.stageOutcome,stageOutcome,eli-dl:process_status,ObjectProperty,eli-dl: (external),mapped,"String value ""Enacted"" on the final stage maps to :EnactedBill via eli-dl:process_status on the LegislativeProcess. All other stages have stageOutcome null. Not a BillEventOutcome individual. See annotation in legislation.owl.ttl."
results[].bill.stages[].event.stageURI,stageURI,eli-dl:had_activity_type,ObjectProperty,eli-dl: (external),mapped,URI maps to a :BillStage named individual in events.owl.ttl (e.g. :FirstStage / :SecondStage). Set on the eli-dl:LegislativeActivity instance.
results[].bill.versions[].version.uri,uri,eli:LegalExpression,Class,eli: (external),implicit,IRI of the bill version eli:LegalExpression instance. The path segment (initiated / ver_a / ver_b) implies the version; the corresponding named individual (:AsInitiated / :VersionA / :VersionB) is used via eli:version property.
results[].bill.versions[].version.docType,docType,eli:type_document,ObjectProperty,eli: (external),new,"String value ""bill"" or ""act"". Per mapping_proposals §5: apply at Work level only. A value of ""act"" signals the presence of a separate eli:LegalResource (Act) Work linked via eli:basis_for; the expression itself does not carry eli:type_document. See annotation on eli:type_document in legislation.owl.ttl."
results[].bill.versions[].version.date,date,eli:date_document,DatatypeProperty,eli: (external),mapped,Date of this expression of the bill. Range xsd:date. Applied to the eli:LegalExpression instance.
results[].bill.versions[].version.lang,lang,eli:language,DatatypeProperty,eli: (external),mapped,BCP 47 language code of the version (e.g. "eng"). Range xsd:language. Applied to the eli:LegalExpression instance.
results[].bill.versions[].version.showAs,showAs,rdfs:label,AnnotationProperty,W3C RDF Schema (external),mapped,Human-readable label for the version (e.g. "As Initiated" / "As amended in Committee"). Applied to the eli:LegalExpression instance.
results[].bill.versions[].version.formats.pdf.uri,uri,eli:uri_schema,DatatypeProperty,eli: (external),mapped,PDF rendition URI. Modelled as eli:uri_schema on an eli:Format instance (media type application/pdf) attached via eli:has_format to the eli:LegalExpression.
results[].bill.versions[].version.formats.xml,xml,eli:uri_schema,DatatypeProperty,eli: (external),mapped,XML rendition URI (null for most bill versions). Same pattern as pdf.uri for application/xml.
